x-axis,v1,v2
second,Volt,Volt
+0.0E+00,+120.100528E-03,+4.969849225E+00
+1.563E-06,+55.778921E-03,+4.929648221E+00
+3.125E-06,+120.100528E-03,+4.969849225E+00
+4.688E-06,+152.261332E-03,+4.969849225E+00
+6.250E-06,+152.261332E-03,+4.969849225E+00
+7.813E-06,+120.100528E-03,+4.929648221E+00
+9.375E-06,+120.100528E-03,+4.929648221E+00
+10.938E-06,+120.100528E-03,+4.969849225E+00
+12.500E-06,+184.422135E-03,+4.969849225E+00
+14.063E-06,+120.100528E-03,+4.969849225E+00
+15.625E-06,+184.422135E-03,+4.969849225E+00
+17.188E-06,+184.422135E-03,+4.929648221E+00
+18.750E-06,+184.422135E-03,+5.010050230E+00
+20.313E-06,+184.422135E-03,+4.969849225E+00
+21.875E-06,+184.422135E-03,+5.010050230E+00
+23.438E-06,+216.582939E-03,+4.969849225E+00
+25.000E-06,+216.582939E-03,+4.969849225E+00
+26.563E-06,+216.582939E-03,+4.969849225E+00
+28.125E-06,+248.743743E-03,+4.969849225E+00
+29.688E-06,+248.743743E-03,+4.969849225E+00
+31.250E-06,+248.743743E-03,+4.969849225E+00
+32.813E-06,+280.904546E-03,+4.969849225E+00
+34.375E-06,+216.582939E-03,+4.969849225E+00
+35.938E-06,+248.743743E-03,+4.969849225E+00
+37.500E-06,+280.904546E-03,+4.969849225E+00
+39.063E-06,+280.904546E-03,+4.969849225E+00
+40.625E-06,+280.904546E-03,+4.969849225E+00
+42.188E-06,+280.904546E-03,+4.969849225E+00
+43.750E-06,+313.065350E-03,+5.010050230E+00
+45.313E-06,+313.065350E-03,+4.969849225E+00
+46.875E-06,+345.226154E-03,+5.010050230E+00
+48.438E-06,+377.386957E-03,+5.010050230E+00
+50.000E-06,+377.386957E-03,+4.969849225E+00
+51.563E-06,+377.386957E-03,+4.969849225E+00
+53.125E-06,+377.386957E-03,+4.969849225E+00
+54.688E-06,+377.386957E-03,+4.969849225E+00
+56.250E-06,+473.869368E-03,+4.969849225E+00
+57.813E-06,+441.708565E-03,+4.969849225E+00
+59.375E-06,+441.708565E-03,+4.969849225E+00
+60.938E-06,+473.869368E-03,+4.969849225E+00
+62.500E-06,+473.869368E-03,+4.929648221E+00
+64.063E-06,+506.030172E-03,+4.929648221E+00
+65.625E-06,+473.869368E-03,+4.969849225E+00
+67.188E-06,+506.030172E-03,+4.969849225E+00
+68.750E-06,+506.030172E-03,+4.969849225E+00
+70.313E-06,+506.030172E-03,+4.969849225E+00
+71.875E-06,+538.190976E-03,+5.010050230E+00
+73.438E-06,+602.512583E-03,+4.969849225E+00
+75.000E-06,+602.512583E-03,+4.929648221E+00
+76.563E-06,+602.512583E-03,+4.969849225E+00
+78.125E-06,+602.512583E-03,+5.010050230E+00
+79.688E-06,+634.673387E-03,+4.969849225E+00
+81.250E-06,+634.673387E-03,+4.969849225E+00
+82.813E-06,+634.673387E-03,+4.929648221E+00
+84.375E-06,+666.834190E-03,+4.969849225E+00
+85.938E-06,+698.994994E-03,+4.969849225E+00
+87.500E-06,+698.994994E-03,+4.969849225E+00
+89.063E-06,+731.155798E-03,+5.010050230E+00
+90.625E-06,+731.155798E-03,+5.010050230E+00
+92.188E-06,+763.316602E-03,+4.969849225E+00
+93.750E-06,+731.155798E-03,+5.010050230E+00
+95.313E-06,+763.316602E-03,+4.969849225E+00
+96.875E-06,+795.477405E-03,+4.969849225E+00
+98.438E-06,+827.638209E-03,+4.969849225E+00
