x-axis,v1,v2
second,Volt,Volt
-5.000000E-06,+2.974874339998E+00,+4.904522560537E+00
-4.995000E-06,+3.698492422700E+00,+4.904522560537E+00
-4.990000E-06,+4.261306487024E+00,+4.743718542159E+00
-4.985000E-06,+4.582914523780E+00,+4.663316532969E+00
-4.980000E-06,+4.743718542159E+00,+4.422110505402E+00
-4.975000E-06,+4.904522560537E+00,+4.180904477835E+00
-4.970000E-06,+5.065326578915E+00,+3.939698450267E+00
-4.965000E-06,+5.145728588104E+00,+3.618090413511E+00
-4.960000E-06,+5.145728588104E+00,+3.376884385943E+00
-4.955000E-06,+5.065326578915E+00,+3.216080367565E+00
-4.950000E-06,+5.065326578915E+00,+2.894472330809E+00
-4.945000E-06,+5.145728588104E+00,+2.733668312430E+00
-4.940000E-06,+5.065326578915E+00,+2.412060275674E+00
-4.935000E-06,+5.145728588104E+00,+2.170854248106E+00
-4.930000E-06,+5.226130597293E+00,+1.929648220539E+00
-4.925000E-06,+5.226130597293E+00,+1.608040183783E+00
-4.920000E-06,+5.226130597293E+00,+1.447236165404E+00
-4.915000E-06,+5.226130597293E+00,+1.206030137837E+00
-4.910000E-06,+5.226130597293E+00,+884.422101081E-03
-4.905000E-06,+5.145728588104E+00,+884.422101080E-03
-4.900000E-06,+5.306532606483E+00,+723.618082702E-03
-4.895000E-06,+5.145728588104E+00,+562.814064324E-03
-4.890000E-06,+5.306532606482E+00,+402.010045946E-03
-4.885000E-06,+5.226130597293E+00,+402.010045946E-03
-4.880000E-06,+5.306532606482E+00,+321.608036757E-03
-4.875000E-06,+5.226130597293E+00,+241.206027567E-03
-4.870000E-06,+5.226130597293E+00,+0.0E+00
-4.865000E-06,+5.226130597294E+00,+80.402009189E-03
-4.860000E-06,+5.306532606482E+00,+80.402009189E-03
-4.855000E-06,+5.226130597294E+00,+80.402009189E-03
-4.850000E-06,+5.306532606482E+00,+80.402009189E-03
-4.845000E-06,+5.306532606482E+00,-0.0E+00
