x-axis,v1,v2
second,Volt,Volt
+0.0E+00,+280.967360E-03,+4.969927743E+00
+1.563E-06,+291.821632E-03,+4.969927743E+00
+3.125E-06,+302.675903E-03,+4.969927743E+00
+4.688E-06,+313.530174E-03,+4.969927743E+00
+6.250E-06,+324.384445E-03,+4.969927743E+00
+7.813E-06,+335.238717E-03,+4.969927743E+00
+9.375E-06,+346.092988E-03,+4.969927743E+00
+10.938E-06,+356.947259E-03,+4.969927743E+00
+12.500E-06,+367.801530E-03,+4.969927743E+00
+14.063E-06,+378.655802E-03,+4.969927743E+00
+15.625E-06,+389.510073E-03,+4.969927743E+00
+17.188E-06,+402.776404E-03,+4.969927743E+00
+18.750E-06,+416.042736E-03,+4.969927743E+00
+20.313E-06,+429.309067E-03,+4.969927743E+00
+21.875E-06,+442.575399E-03,+4.969927743E+00
+23.438E-06,+455.841730E-03,+4.969927743E+00
+25.000E-06,+469.108062E-03,+4.969927743E+00
+26.563E-06,+482.374393E-03,+4.969927743E+00
+28.125E-06,+495.640725E-03,+4.969927743E+00
+29.688E-06,+508.907057E-03,+4.969927743E+00
+31.250E-06,+522.173388E-03,+4.969927743E+00
+32.813E-06,+537.650775E-03,+4.969927743E+00
+34.375E-06,+553.128162E-03,+4.969927743E+00
+35.938E-06,+568.605548E-03,+4.969927743E+00
+37.500E-06,+584.082935E-03,+4.969927743E+00
+39.063E-06,+599.560322E-03,+4.969927743E+00
+40.625E-06,+615.037709E-03,+4.969927743E+00
+42.188E-06,+630.515095E-03,+4.969927743E+00
+43.750E-06,+645.992482E-03,+4.969927743E+00
+45.313E-06,+661.469869E-03,+4.969927743E+00
+46.875E-06,+676.947256E-03,+4.969927743E+00
+48.438E-06,+694.233688E-03,+4.969927743E+00
+50.000E-06,+711.520120E-03,+4.969927743E+00
+51.563E-06,+728.806552E-03,+4.969927743E+00
+53.125E-06,+746.092984E-03,+4.969927743E+00
+54.688E-06,+763.379416E-03,+4.969927743E+00
+56.250E-06,+780.665848E-03,+4.969927743E+00
+57.813E-06,+797.952280E-03,+4.969927743E+00
+59.375E-06,+815.238712E-03,+4.969927743E+00
+60.938E-06,+832.525143E-03,+4.969927743E+00
+62.500E-06,+849.811575E-03,+4.969927743E+00
+64.063E-06,+868.505043E-03,+4.969927743E+00
+65.625E-06,+887.198510E-03,+4.969927743E+00
+67.188E-06,+905.891977E-03,+4.969927743E+00
+68.750E-06,+924.585444E-03,+4.969927743E+00
+70.313E-06,+943.278911E-03,+4.969927743E+00
+71.875E-06,+961.972378E-03,+4.969927743E+00
+73.438E-06,+980.665845E-03,+4.969927743E+00
+75.000E-06,+999.359313E-03,+4.969927743E+00
+76.563E-06,+1.018052780E+00,+4.969927743E+00
+78.125E-06,+1.036746247E+00,+4.969927743E+00
+79.688E-06,+1.057248759E+00,+4.969676486E+00
+81.250E-06,+1.077751272E+00,+4.969425230E+00
+82.813E-06,+1.098253784E+00,+4.969173974E+00
+84.375E-06,+1.118756296E+00,+4.968922718E+00
+85.938E-06,+1.139258809E+00,+4.968671461E+00
+87.500E-06,+1.159761321E+00,+4.968420205E+00
+89.063E-06,+1.180263833E+00,+4.968168949E+00
+90.625E-06,+1.200766346E+00,+4.967917692E+00
+92.188E-06,+1.221268858E+00,+4.967666436E+00
+93.750E-06,+1.241771370E+00,+4.967415180E+00
+95.313E-06,+1.263881923E+00,+4.966158899E+00
+96.875E-06,+1.285992475E+00,+4.964902617E+00
+98.438E-06,+1.308103028E+00,+4.963646336E+00
+100.000E-06,+1.330213580E+00,+4.962390054E+00
+101.563E-06,+1.352324133E+00,+4.961133773E+00
+103.125E-06,+1.374434685E+00,+4.959877492E+00
+104.688E-06,+1.396545238E+00,+4.958621210E+00
+106.250E-06,+1.418655790E+00,+4.957364929E+00
+107.813E-06,+1.440766343E+00,+4.956108647E+00
+109.375E-06,+1.462876896E+00,+4.954852366E+00
+110.938E-06,+1.486193478E+00,+4.950329753E+00
+112.500E-06,+1.509510061E+00,+4.945807140E+00
+114.063E-06,+1.532826644E+00,+4.941284527E+00
+115.625E-06,+1.556143226E+00,+4.936761914E+00
+117.188E-06,+1.579459809E+00,+4.932239301E+00
+118.750E-06,+1.602776392E+00,+4.927716688E+00
+120.313E-06,+1.626092974E+00,+4.923194075E+00
+121.875E-06,+1.649409557E+00,+4.918671462E+00
+123.438E-06,+1.672726140E+00,+4.914148849E+00
+125.000E-06,+1.696042722E+00,+4.909626236E+00
+126.563E-06,+1.720364330E+00,+4.898570960E+00
+128.125E-06,+1.744685938E+00,+4.887515683E+00
+129.688E-06,+1.769007546E+00,+4.876460407E+00
+131.250E-06,+1.793329153E+00,+4.865405131E+00
+132.813E-06,+1.817650761E+00,+4.854349855E+00
+134.375E-06,+1.841972369E+00,+4.843294578E+00
+135.938E-06,+1.866293977E+00,+4.832239302E+00
+137.500E-06,+1.890615584E+00,+4.821184026E+00
+139.063E-06,+1.914937192E+00,+4.810128749E+00
+140.625E-06,+1.939258800E+00,+4.799073473E+00
+142.188E-06,+1.963982418E+00,+4.771686539E+00
+143.750E-06,+1.988706036E+00,+4.744299604E+00
+145.313E-06,+2.013429653E+00,+4.716912670E+00
+146.875E-06,+2.038153271E+00,+4.689525736E+00
+148.438E-06,+2.062876889E+00,+4.662138801E+00
+150.000E-06,+2.087600507E+00,+4.634751867E+00
+151.563E-06,+2.112324125E+00,+4.607364933E+00
+153.125E-06,+2.137047743E+00,+4.579977998E+00
+154.688E-06,+2.161771360E+00,+4.552591064E+00
+156.250E-06,+2.186494978E+00,+4.525204129E+00
+157.813E-06,+2.211620606E+00,+4.312892574E+00
+159.375E-06,+2.236746234E+00,+4.100581018E+00
