vi,V(vout),d(V(vout))
0.000000000000000e+000,5.000001e+000,-9.536743e-004
1.000000000000000e-003,5.000000e+000,-4.768372e-004
2.000000000000000e-003,5.000000e+000,0.000000e+000
3.000000000000000e-003,5.000000e+000,0.000000e+000
4.000000000000000e-003,5.000000e+000,0.000000e+000
5.000000000000000e-003,5.000000e+000,0.000000e+000
6.000000000000000e-003,5.000000e+000,0.000000e+000
7.000000000000000e-003,5.000000e+000,0.000000e+000
8.000000000000000e-003,5.000000e+000,0.000000e+000
8.999999999999999e-003,5.000000e+000,0.000000e+000
1.000000000000000e-002,5.000000e+000,0.000000e+000
1.100000000000000e-002,5.000000e+000,0.000000e+000
1.200000000000000e-002,5.000000e+000,0.000000e+000
1.300000000000000e-002,5.000000e+000,0.000000e+000
1.400000000000000e-002,5.000000e+000,0.000000e+000
1.500000000000000e-002,5.000000e+000,0.000000e+000
1.600000000000000e-002,5.000000e+000,0.000000e+000
1.700000000000000e-002,5.000000e+000,0.000000e+000
1.800000000000000e-002,5.000000e+000,0.000000e+000
1.900000000000000e-002,5.000000e+000,0.000000e+000
2.000000000000000e-002,5.000000e+000,0.000000e+000
2.100000000000000e-002,5.000000e+000,0.000000e+000
2.200000000000000e-002,5.000000e+000,0.000000e+000
2.300000000000000e-002,5.000000e+000,0.000000e+000
2.400000000000000e-002,5.000000e+000,0.000000e+000
2.500000000000000e-002,5.000000e+000,0.000000e+000
2.600000000000000e-002,5.000000e+000,0.000000e+000
2.700000000000000e-002,5.000000e+000,0.000000e+000
2.800000000000000e-002,5.000000e+000,0.000000e+000
2.900000000000000e-002,5.000000e+000,0.000000e+000
3.000000000000000e-002,5.000000e+000,0.000000e+000
3.100000000000000e-002,5.000000e+000,0.000000e+000
3.200000000000000e-002,5.000000e+000,0.000000e+000
3.300000000000000e-002,5.000000e+000,0.000000e+000
3.400000000000000e-002,5.000000e+000,0.000000e+000
3.500000000000000e-002,5.000000e+000,0.000000e+000
3.600000000000000e-002,5.000000e+000,0.000000e+000
3.700000000000000e-002,5.000000e+000,0.000000e+000
3.800000000000000e-002,5.000000e+000,0.000000e+000
3.900000000000000e-002,5.000000e+000,0.000000e+000
4.000000000000000e-002,5.000000e+000,0.000000e+000
4.100000000000000e-002,5.000000e+000,0.000000e+000
4.200000000000000e-002,5.000000e+000,0.000000e+000
4.300000000000000e-002,5.000000e+000,0.000000e+000
4.400000000000000e-002,5.000000e+000,0.000000e+000
4.500000000000000e-002,5.000000e+000,0.000000e+000
4.600000000000000e-002,5.000000e+000,0.000000e+000
4.700000000000000e-002,5.000000e+000,0.000000e+000
4.800000000000000e-002,5.000000e+000,0.000000e+000
4.900000000000000e-002,5.000000e+000,0.000000e+000
5.000000000000000e-002,5.000000e+000,0.000000e+000
5.100000000000000e-002,5.000000e+000,0.000000e+000
5.200000000000000e-002,5.000000e+000,0.000000e+000
5.300000000000000e-002,5.000000e+000,0.000000e+000
5.400000000000000e-002,5.000000e+000,0.000000e+000
5.500000000000000e-002,5.000000e+000,0.000000e+000
5.600000000000000e-002,5.000000e+000,0.000000e+000
5.700000000000000e-002,5.000000e+000,0.000000e+000
5.800000000000000e-002,5.000000e+000,0.000000e+000
5.900000000000000e-002,5.000000e+000,0.000000e+000
