time,V(vi),V(vout)
0.000000000000000e+000,0.000000e+000,5.000001e+000
9.999999824516700e-014,5.000000e-004,5.000001e+000
1.999999964903340e-013,9.999999e-004,5.000001e+000
1.023999982030510e-010,5.120000e-001,5.000202e+000
2.047999964061020e-010,1.024000e+000,5.000403e+000
4.095999928122041e-010,2.048000e+000,5.000786e+000
5.904000071877959e-010,2.952000e+000,5.001080e+000
6.383999712488162e-010,3.192000e+000,5.001128e+000
7.343998993708567e-010,3.671999e+000,5.001150e+000
8.080001437559190e-010,4.040001e+000,5.001109e+000
8.527995112298754e-010,4.263998e+000,5.001043e+000
9.104012650520872e-010,4.552006e+000,5.000895e+000
1.000000000000000e-009,5.000000e+000,5.000586e+000
1.000906149989552e-009,5.000000e+000,5.000580e+000
1.002718449968656e-009,5.000000e+000,5.000568e+000
1.028090649676112e-009,5.000000e+000,5.000401e+000
1.057087449341777e-009,5.000000e+000,5.000211e+000
1.115081048673106e-009,5.000000e+000,4.999831e+000
1.231068247335763e-009,5.000000e+000,4.999070e+000
3.318837823263596e-009,5.000000e+000,4.985377e+000
5.406607399191430e-009,5.000000e+000,4.971688e+000
7.494376975119263e-009,5.000000e+000,4.958002e+000
9.582146551047097e-009,5.000000e+000,4.944319e+000
1.166991612697493e-008,5.000000e+000,4.930639e+000
1.375768570290276e-008,5.000000e+000,4.916963e+000
1.584545527883059e-008,5.000000e+000,4.903290e+000
2.584545527883059e-008,5.000000e+000,4.837826e+000
3.584545527883060e-008,5.000000e+000,4.772421e+000
4.584545527883059e-008,5.000000e+000,4.707087e+000
6.584545527883060e-008,5.000000e+000,4.576649e+000
9.584545527883060e-008,5.000000e+000,4.381572e+000
1.258454552788306e-007,5.000000e+000,4.187190e+000
1.487025981359735e-007,5.000000e+000,4.039557e+000
1.715597409931163e-007,5.000000e+000,3.892324e+000
1.944168838502592e-007,5.000000e+000,3.745491e+000
2.172740267074021e-007,5.000000e+000,3.599056e+000
2.401311695645449e-007,5.000000e+000,3.453022e+000
2.629883124216878e-007,5.000000e+000,3.307386e+000
2.858454552788306e-007,5.000000e+000,3.162151e+000
3.158454552788306e-007,5.000000e+000,2.969331e+000
3.458454552788306e-007,5.000000e+000,2.781171e+000
3.758454552788306e-007,5.000000e+000,2.597671e+000
4.058454552788306e-007,5.000000e+000,2.418832e+000
4.358454552788306e-007,5.000000e+000,2.244653e+000
4.658454552788306e-007,5.000000e+000,2.075134e+000
4.958454552788306e-007,5.000000e+000,1.910275e+000
5.229883124216877e-007,5.000000e+000,1.769922e+000
5.501311695645448e-007,5.000000e+000,1.636578e+000
5.772740267074021e-007,5.000000e+000,1.510244e+000
6.044168838502592e-007,5.000000e+000,1.390918e+000
6.315597409931164e-007,5.000000e+000,1.278601e+000
6.587025981359735e-007,5.000000e+000,1.173293e+000
6.858454552788306e-007,5.000000e+000,1.074994e+000
7.172740267074020e-007,5.000000e+000,9.708356e-001
7.487025981359735e-007,5.000000e+000,8.742794e-001
7.801311695645450e-007,5.000000e+000,7.853257e-001
8.115597409931163e-007,5.000000e+000,7.039745e-001
8.429883124216877e-007,5.000000e+000,6.302258e-001
8.744168838502592e-007,5.000000e+000,5.640795e-001
9.058454552788306e-007,5.000000e+000,5.055358e-001
9.329883124216877e-007,5.000000e+000,4.593628e-001
9.601311695645449e-007,5.000000e+000,4.165414e-001
9.872740267074020e-007,5.000000e+000,3.770718e-001
1.014416883850259e-006,5.000000e+000,3.409540e-001
1.041559740993116e-006,5.000000e+000,3.081878e-001
1.068702598135974e-006,5.000000e+000,2.787733e-001
1.095845455278831e-006,5.000000e+000,2.527106e-001
1.125845455278831e-006,5.000000e+000,2.260314e-001
1.155845455278831e-006,5.000000e+000,2.020845e-001
1.185845455278831e-006,5.000000e+000,1.806072e-001
1.215845455278831e-006,5.000000e+000,1.613584e-001
1.245845455278831e-006,5.000000e+000,1.441180e-001
1.275845455278831e-006,5.000000e+000,1.286852e-001
1.305845455278831e-006,5.000000e+000,1.148775e-001
1.335845455278831e-006,5.000000e+000,1.025294e-001
1.365845455278831e-006,5.000000e+000,9.149101e-002
1.395845455278831e-006,5.000000e+000,8.162709e-002
1.425845455278831e-006,5.000000e+000,7.281552e-002
1.455845455278831e-006,5.000000e+000,6.494629e-002
1.485845455278831e-006,5.000000e+000,5.792046e-002
1.515845455278831e-006,5.000000e+000,5.164907e-002
1.545845455278831e-006,5.000000e+000,4.605225e-002
1.575845455278831e-006,5.000000e+000,4.105838e-002
1.605845455278831e-006,5.000000e+000,3.660321e-002
1.635845455278831e-006,5.000000e+000,3.262923e-002
1.665845455278831e-006,5.000000e+000,2.908491e-002
1.695845455278831e-006,5.000000e+000,2.592417e-002
1.725845455278831e-006,5.000000e+000,2.310580e-002
1.755845455278831e-006,5.000000e+000,2.059293e-002
1.785845455278831e-006,5.000000e+000,1.835264e-002
1.815845455278831e-006,5.000000e+000,1.635550e-002
1.845845455278831e-006,5.000000e+000,1.457525e-002
1.875845455278831e-006,5.000000e+000,1.298841e-002
1.905845455278831e-006,5.000000e+000,1.157405e-002
1.935845455278831e-006,5.000000e+000,1.031349e-002
1.965845455278831e-006,5.000000e+000,9.190034e-003
1.995845455278831e-006,5.000000e+000,8.188819e-003
2.025845455278831e-006,5.000000e+000,7.296568e-003
2.055845455278831e-006,5.000000e+000,6.501447e-003
2.085845455278831e-006,5.000000e+000,5.792902e-003
2.115845455278831e-006,5.000000e+000,5.161520e-003
2.145845455278831e-006,5.000000e+000,4.598909e-003
2.175845455278831e-006,5.000000e+000,4.097587e-003
2.205845455278831e-006,5.000000e+000,3.650886e-003
2.235845455278831e-006,5.000000e+000,3.252860e-003
2.265845455278831e-006,5.000000e+000,2.898210e-003
2.295845455278831e-006,5.000000e+000,2.582212e-003
2.325845455278831e-006,5.000000e+000,2.300657e-003
2.355845455278831e-006,5.000000e+000,2.049793e-003
2.385845455278831e-006,5.000000e+000,1.826276e-003
2.415845455278831e-006,5.000000e+000,1.627127e-003
2.445845455278831e-006,5.000000e+000,1.449690e-003
2.453581818810426e-006,5.000000e+000,1.407257e-003
2.461318182342022e-006,5.000000e+000,1.365959e-003
2.469054545873618e-006,5.000000e+000,1.325797e-003
2.476790909405214e-006,5.000000e+000,1.286771e-003
2.484527272936809e-006,5.000000e+000,1.248880e-003
2.492263636468405e-006,5.000000e+000,1.212125e-003
2.500000000000000e-006,5.000000e+000,1.176505e-003
2.501000000000000e-006,5.000000e+000,1.171982e-003
2.501003107943664e-006,4.984460e+000,1.170338e-003
2.501009323830991e-006,4.953381e+000,1.167051e-003
2.501096346253579e-006,4.518269e+000,1.121073e-003
2.501195800450822e-006,4.020998e+000,1.069319e-003
2.501394708845307e-006,3.026456e+000,9.747787e-004
2.501504428020583e-006,2.477860e+000,9.479561e-004
2.501617375583562e-006,1.913122e+000,9.872603e-004
2.501751562316836e-006,1.242188e+000,1.156967e-003
2.501855529414517e-006,7.223529e-001,1.437527e-003
2.502000000000000e-006,0.000000e+000,2.016233e-003
2.502000893682058e-006,0.000000e+000,2.021696e-003
2.502002681046175e-006,0.000000e+000,2.032621e-003
2.504093897062662e-006,0.000000e+000,1.481300e-002
2.506185113079148e-006,0.000000e+000,2.759021e-002
2.508276329095634e-006,0.000000e+000,4.036426e-002
2.510367545112121e-006,0.000000e+000,5.313515e-002
2.512458761128607e-006,0.000000e+000,6.590288e-002
2.514549977145093e-006,0.000000e+000,7.866745e-002
2.516641193161580e-006,0.000000e+000,9.142886e-002
2.526641193161580e-006,0.000000e+000,1.524232e-001
